MURDGRP,SEX,MSA_LABEL,WEAPON_CODE,TOTAL,SOLVED,PERCENT,WEAPON_LABEL,REL_UNK_RATE,REL_TOP1,CIRC_UNK_RATE,CIRC_TOP1,UNSOLVED,REPORT_GAP_IDX
30308668,2,Rural Vermont,8,3,3,1.0,"Narcotics or drugs, sleeping pills",0.0,Acquaintance,0.0,All other manslaughter by negligence,0,0.0
30741288,2,"Palm Bay-Melbourne-Titusville, FL",9,3,3,1.0,Other gun,0.0,Other - known to victim,0.3333333333333333,Lovers triangle,0,0.16666666666666666
30746156,2,"Lafayette, IN",16,3,3,1.0,Strangulation - hanging,0.0,Daughter,0.3333333333333333,Other,0,0.16666666666666666
30949367,2,"Gadsden, AL",1,3,3,1.0,"Blunt object - hammer, club, etc",0.0,Other family,0.3333333333333333,Other arguments,0,0.16666666666666666
32171113,2,"Hagerstown-Martinsburg, MD-WV",0,3,3,1.0,Asphyxiation - includes death by gas,0.0,Wife,0.3333333333333333,Other,0,0.16666666666666666
32263582,2,"Midland, TX",15,3,3,1.0,Shotgun,0.0,Common-law wife,0.0,Argument over money or property,0,0.0
33482457,2,"Charlotte-Gastonia-Concord, NC-SC",17,3,3,1.0,Weapon Not Reported,1.0,—,1.0,—,0,1.0
34498406,2,"Hattiesburg, MS",14,3,3,1.0,Rifle,0.0,In-law,0.0,Other arguments,0,0.0
34670100,2,"Salt Lake City, UT",4,3,3,1.0,Fire,0.0,Acquaintance,0.0,Other arguments,0,0.0
34681810,2,"Wichita Falls, TX",15,3,3,1.0,Shotgun,0.0,In-law,0.0,Other arguments,0,0.0
35016881,2,"Elmira, NY",14,3,3,1.0,Rifle,0.0,Girlfriend,0.0,Other,0,0.0
36382326,2,"Morgantown, WV",10,3,3,1.0,Other or type unknown,0.0,Friend,0.6666666666666666,Narcotic drug laws,0,0.3333333333333333
36420707,2,"Florence-Muscle Shoals, AL",5,3,3,1.0,"Firearm, type not stated",0.0,Acquaintance,0.3333333333333333,Other arguments,0,0.16666666666666666
36526801,2,Rural North Carolina,12,3,3,1.0,Poison - does not include gas,0.0,Daughter,0.3333333333333333,Other,0,0.16666666666666666
37208203,2,Rural Ohio,9,3,3,1.0,Other gun,0.0,Mother,0.3333333333333333,Other arguments,0,0.16666666666666666
38999918,2,"Pensacola-Ferry Pass-Brent, FL",14,3,3,1.0,Rifle,0.0,Ex-wife,0.0,Other arguments,0,0.0
40636909,2,"Lubbock, TX",15,3,3,1.0,Shotgun,0.0,Wife,0.0,Other arguments,0,0.0
41126150,2,"Kankakee-Bradley, IL",4,3,3,1.0,Fire,0.0,Daughter,0.0,Arson,0,0.0
41139278,2,"Brunswick, GA",5,3,3,1.0,"Firearm, type not stated",0.0,Wife,0.0,Other arguments,0,0.0
41521380,2,Rural Delaware,0,3,3,1.0,Asphyxiation - includes death by gas,0.0,Wife,0.0,Other arguments,0,0.0
41638571,2,"Lafayette, LA",5,3,3,1.0,"Firearm, type not stated",0.0,Acquaintance,0.6666666666666666,Other,0,0.3333333333333333
41764958,2,"Coeur d Alene, ID",1,3,3,1.0,"Blunt object - hammer, club, etc",0.0,Wife,0.0,Other,0,0.0
42824341,2,"State College, PA",10,3,3,1.0,Other or type unknown,0.3333333333333333,Wife,0.3333333333333333,Other,0,0.3333333333333333
43318663,2,"Cedar Rapids, IA",0,3,3,1.0,Asphyxiation - includes death by gas,0.0,Girlfriend,0.3333333333333333,Brawl due to influence of narcotics,0,0.16666666666666666
43321292,2,"Reading, PA",0,3,3,1.0,Asphyxiation - includes death by gas,0.0,Wife,0.3333333333333333,All suspected felony type,0,0.16666666666666666
44759085,2,"Phoenix-Mesa-Scottsdale, AZ",12,3,3,1.0,Poison - does not include gas,0.0,Acquaintance,0.0,Other,0,0.0
44775864,2,"Lafayette, IN",14,3,3,1.0,Rifle,0.0,Other family,0.0,Argument over money or property,0,0.0
